구분,메뉴,기능,설명,사용 방법
모바일,홈,월간 요약,이번 달 수입/지출/잔액 표시,로그인 후 홈에서 바로 확인
모바일,홈,반복거래 로그 요약,최근 7일 및 누적 성공/실패 표시,홈 하단 실행 로그 섹션 확인
모바일,입력,빠른 거래 입력,수입/지출/이체를 빠르게 기록,타입 선택 후 금액/날짜/계정/카테고리 입력
모바일,목록,거래 조회/수정/삭제,입력된 거래를 검토하고 수정/삭제,목록 탭에서 항목 액션 사용
모바일,관리,계정/카테고리/예산/반복거래 관리,마스터 데이터 및 반복 규칙 관리,관리 탭에서 폼 입력 후 저장
웹,대시보드,월간 통계 카드,수입/지출/잔액 핵심 지표,대시보드 상단 카드 확인
웹,분석,카테고리/예산/추이,소비 비중과 예산 진행률 및 월별 추이 확인,통계 섹션 확인
웹,거래 검토,검색/필터,조건 기반 거래 탐색,검색창과 필터 조건 입력
웹,거래 검토,CSV/XLSX 내보내기,필터 결과 파일 다운로드,내보내기 버튼 클릭
웹,거래 검토,필터 링크 복사,현재 필터 상태 공유 링크 생성,필터 링크 복사 버튼 클릭
웹,반복배치 로그,실패 사유 요약,최근 7일 실패 원인 상위 집계 표시,반복배치 실행 로그 패널 확인
웹,반복배치 로그,실패 로그 상세,최근 5건 우선 + 전체 보기 제공,실패 로그 상세 토글 열기
웹,설정,사용자 기본 설정,표시 이름/통화/주 시작/월 시작 저장,설정 폼 저장
운영,배치 검증,반복거래 dry-run,실행 대상과 결과 사전 점검,pnpm ops:check-recurring-batch 실행
운영,환경 점검,런타임 env 검증,필수 환경변수 누락 확인,pnpm ops:check-env 실행
